Participante,Dialogo
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","O sea, quién es la universidad que mejores microcredenciales está haciendo en México, la UNAM, nomás el curso número uno de Coursera tiene 378,206 estudiantes y la UNAM tiene 373,000. O sea, ya hay más estudiantes en un curso de Coursera de hecho por la UNAM que en toda la UNAM. Y si sumamos los cuatro cursos casi llegan al millón de estudiantes. O sea, hay un millón de mexicanos que han tomado un curso hecho por la UNAM en una plataforma y hay 373,000 jóvenes estudiando en la UNAM. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Veamos el potencial o la necesidad que están teniendo los seres humanos de actualizarse en plataformas que hoy poco estamos explorando las universidades. Quién nos están invitando a hacer este tipo de cosas son plataformas privadas que nos invitan a hacer cursos. Bueno, ojalá y ya estamos trabajando en la SEP las plataformas públicas para que lo hagamos."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Pero, ¿quién también está educando a los mexicanos? Pues YouTube, TikTok, hay 83 millones de mexicanos en TikTok. El primer contenido que buscan es cultural, el segundo social y el tercero es educativo. O sea, están los mexicanos buscando educarse en YouTube, en TikTok hay 74.15 millones de mexicanos, el primer contenido que buscan es entretenimiento, el segundo informativo y el tercero es educativo. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Los jóvenes están buscando contenidos educativos en YouTube y en TikTok. Qué peligro, hay que subirnos nosotros a esto para meter a nuestros jóvenes y traerlos y usar más bien estas plataformas para nosotros con contenidos que sí tengan la garantía de que no hay falsedades. Imagínense que TikTok forme a tus hijos, qué miedo, yo todavía prefiero una universidad. Pasamos a la que sigue."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces el modelo tradicional con el que durante más de 1000 años, de Bolonia a hoy funcionaba, pues era un modelo donde estudiabas 18 o 30 años, trabajabas 35 o 40 años, te retirabas 5 años y a los 73 años te morías, era la expectativa de vida. Entonces, medianamente ese era un modelo tradicional de vida. Qué quiere decir que lo que te enseñaban en la universidad te duraba toda la vida. O sea, eran aprendizajes que duraban. Ese modelo funcionó, sí, más de 1000 años. ¿Por qué? Porque los conocimientos del aprendizaje te duraban toda la vida. Entonces, lo que te enseñaba la universidad eh te servía hasta para morir."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Después llegó un modelo emergente eh porque los conocimientos empezaron a actualizarse,18 o 30 años de estudio, 20 años de trabajo, te actualizabas 3 meses y volvías a trabajar 20 años. Con un reentrenamiento de 3 meses, tu carrera volvías a relanzarte y vivías toda la vida, la expectativa de vida creció a 80 años. Entonces tenías 10 años de retiro."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, yo creo que el nuevo modelo emergente que tenemos que pensar todos nosotros es que el aprendizaje y el trabajo, o sea, digamos el aprendizaje ya es para toda la vida. Los conocimientos están actualizándose tan rápido que cada 5 años o 10 años lo que aprendiste ya no te sirve. Y ese modelo de universidad de estudiar 5 años y no te vuelvo a ver en toda la vida ya está obsoleto. Porque a los 28 años lo que tú le enseñaste ya no le es útil a esa persona."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Lo que le era útil era la ética y la filosofía y se las quitamos, programar eh en R, después se necesitó Python y ahí viene Julia. O sea, en 3 años ya hay tres cosas que hay que aprender un ingeniero informático y se tiene que actualizar."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, eso es lo que metimos a la currículo. Eso dejémoslo a las plataformas que hay que hacer y los actualizamos a los jóvenes nosotros mismos las universidades, no hay que dejárselo, pero bueno eh hay un nuevo modelo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces ya ahí están tres tipos de aprendizaje, ya lo dije, el formal, el no formal y el informal. El tema es que hoy solo le damos valor a lo formal y hay 92 millones de mexicanos o más que no tienen un título universitario. Que no tienen un reconocimiento de aprendizajes no formales e informales y les aseguro que los 92 millones de mexicanos que no tienen un título universitario algo saben. Nomás nadie se los hemos querido reconocer ni certificar."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Ahí está el valor de los títulos y ahí sí preocupémonos. Del 2016 al 2022 en solo 6 años alguien que estudiaba primaria a secundaria tenía una posibilidad de vida de un 64% de más ingresos. Alguien que estudiaba preparatoria sus ingresos subían un 141%. Alguien que estudiaba una licenciatura sus ingresos eran un 395% más. Y alguien que estudiaba un doctorado un 1260%.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, en solo 6 años esto ya están haciendo en el 2024 vamos a poder actualizar esta gráfica. Pero en solo 6 años fíjense la pérdida del valor, o sea, la educación como escalera social como se está cayendo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Desde la secundaria pasó de 64 a 45, la preparatoria de 141 a 77, el profesional la licenciatura de 395 a 218 y el doctorado de 1260 a 566. Entonces el valor de los títulos también en el mundo económico está cambiando."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces ya en el valor en el mundo filosófico y eso ya lo habíamos perdido, pero en el económico valíamos todavía mucho y ese era nuestro peso como universidades, nosotros tenemos el monopolio de los títulos. Di se pierde el valor económico de los títulos nos vamos a quedar sin nada. Y no recuperamos el valor filosófico y ético y otras cosas."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces cuidado porque también lamentablemente la economía le da la espalda a quien sea y está a punto de darle la espalda a las universidades. Si te puedo enseñar Python en 3 meses, ¿por qué necesito un ingeniero en informática? A mí me sirve lo mismo alguien que me programe iOS que en 3 meses que alguien que estudió 5 años una ingeniería en informática. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","En el lenguaje económico es irrelevante. En el lenguaje civilizatorio, qué grave, qué grave que lo único que valga sean las habilidades técnicas para el empleo. Bueno, pasamos a la que sigue."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces, el CINE (referencia a la Clasificación Internacional Normalizada de la Educación - UNESCO), que es la clasificación internacional normalizada, es un marco de referencia elaborado por la UNESCO que permite clasificar programas educativos y certificaciones por niveles de educación y campos de estudio con el fin de facilitar la comparación internacional de estadísticas educativas."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","La idea es eh queremos armonizar, digo tenemos ya unos lineamientos del marco mexicano de cualificaciones que están alineados a esta clasificación internacional normalizada y qué nos va a permitir, pasamos a lo que sigue."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","La idea es llegar a esto. Ahora en los lineamientos tenemos un esquema diferente, pero vamos a tratar en el comité impulsar este diseño. Digo, a lo mejor se entiende poco, pero trato de explicarlo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Hay ocho niveles que tiene esta clasificación internacional normalizada de la educación, el  CINE (referencia a la Clasificación Internacional Normalizada de la Educación - UNESCO), y es la parte de afuera del círculo. Empieza en el nivel CINE cero que es la educación de la primera infancia y se va dando la vuelta hasta llegar al nivel CINE ocho que es el doctorado o equivalente."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces, digamos que hay ocho niveles de clasificación internacional. Si nos vamos metiendo al círculo, pues nos vamos a ir ya metiendo al sistema mexicano de cualificaciones armonizado a un esquema internacional que nos va a permitir armonizar nuestro sistema de créditos mucho más a nivel internacional y al interior del país."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces, digamos que en el nivel CINE cero, nosotros en México tenemos cero A y cero B que es que de educación inicial y preescolar, ese es el nivel cero. El nivel uno es el tipo básico, es la primaria. El nivel dos es la secundaria y así nos vamos hasta el nivel seis que es la licenciatura, el nivel siete son las especialidades y las maestrías y el nivel ocho son los doctorados."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces, ¿qué queremos proponer y qué queremos impulsar con todos ustedes? Medianamente ya tenemos un acuerdo de los créditos, ya tenemos un valor de 16 horas por crédito. Entonces, 16 horas clase o de aprendizajes valen un crédito, eso ya lo acordamos todos. Lo que tenemos que hacer ahora es ese crédito alinearlo a un nivel de profundidad. Hay créditos que son un crédito nivel cero. Si hacer plastilina y aplaudir tres veces en la primaria vale. La psicomotricidad, o sea, este es un aprendizaje, sí, si tardaste 16 horas en hacer un monito de plastilina te llevaste un crédito. Ese crédito es transferible para un doctorado, o sea, tú puedes llegar, oiga, tengo un crédito y sé hacer monitos de plastilina, no. Ese crédito vale un crédito nivel cero."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Hay créditos que hay que decir, este crédito vale, este crédito está alineado a nivel cero, este al uno, este al dos hasta el ocho."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Si logramos clasificar nuestros créditos en ocho niveles. Bueno, hay varios marcos, el marco australiano de cualificaciones es de los más avanzados, si quieren revisar ese como referencia, es una gran experiencia lo que Australia está haciendo en el marco y bueno, el marco de cualificaciones de la Unión Europea que permitió una movilidad internacional maravillosa en Europa. También hay varias eh crisis que ya han vivido, sobre todo por la calidad de las certificaciones y eso hay que cuidarlo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Y la propuesta del marco mexicano. O sea, el australiano es de ocho niveles, el europeo es de diez niveles. Y el que estamos proponiendo en México es de ocho niveles que está alineado al CINE, que es el de la UNESCO."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, pero ¿cuáles son notas de las innovaciones? al centro del círculo que les presenté, esa como turbina rara que se las mandamos para que la puedan entender, yo duré como cuatro días en entenderla. Si ustedes ven al centro están diplomas, certificados y constancias, o sea, bueno, a nivel es constancia, certificado y diploma. Ese tipo de certificaciones es una innovación que es donde podemos y tenemos un potencial tremendo las instituciones de educación superior, no solo dar títulos universitarios."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Si metemos constancias, certificados y diplomas alineados con validez de créditos curriculares y no curriculares y empezamos a acreditar y certificar aprendizajes informales, no formales a través de constancias, certificados y diplomas, que después, al tener valor de créditos y nivel de profundidad, puedan ser transferibles a planes de estudio, pues empezamos a unir el mundo de las microcredenciales y, como país, podremos decidir si un curso de programación de Python de Coursera de 16 horas pueda valer un crédito en la ingeniería informática de su programa de estudios de informática"
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Tendrá que ser una certificación que apruebe la secretaría de educación con un nivel de profundidad seis o siete para que pueda ser de licenciatura, o un nivel tres o cuatro para que valga para una prepa; le asignamos el valor de créditos, le asignamos la profundidad y ese ser humano tiene una constancia que cada institución podrá decidir si le da valor o la incorpora también a darle valor a sus planes de estudios o no, pero si no, por lo menos ese ser humano tiene una certificación de que es especialista en algo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","En este marco que estamos proponiendo para México, en los lineamientos ya se establece que las universidades podríamos dar constancias que son de uno a doce créditos, certificados que son de trece a treinta y seis créditos o diplomas que son de treinta y seis créditos o más, pero también otra cosa que es importante es bajo tres modalidades de enseñanza, digamos la primera es la mediación docente, lo que está del lado derecho, o sea, esta es la que es interacción directa entre estudiantes y docentes, ya sea física o virtual o sea, los créditos se pueden tomar por mediación docente, pero también por estudio independiente, aprendizajes autónomos dentro o fuera de espacios educativos y que las universidades evaluemos y si esa persona demuestra tener ese aprendizaje se lo acreditemos, y por último, prácticas de campo, formación mediante experiencias en contextos laborales, sociales o comunitarios."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Queremos un modelo dual, tenemos que reconocer créditos en las empresas, digo el mejor modelo dual que sí tenemos en este país son los médicos, o sea el modelo para médicos es dual: toman clases en los hospitales. O sea, ya lo hacemos, solo que lo hacemos para medicina, por ejemplo, y ellos sí toman créditos ya en los hospitales y se los convalidamos en el plan de estudio, y tenemos profesores en los hospitales."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, hay que empezar a tener profesores en las fábricas también y en otros lugares para poder hacer créditos académicos con prácticas de campo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, entonces con estos lineamientos se reconocerán y podrán acreditarse aprendizajes por mediación docente, por estudio independiente y por prácticas de campo. Y podremos dar constancias, certificados y diplomas, ¿no? La que sigue."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces, queremos proponer de inicio, como primera iniciativa, una plataforma.  Muchas instituciones están haciendo esfuerzos por dar este tipo de constancias o tener microcredenciales, y todo el mundo lo está haciendo: el MOOCTecNM, la UPN virtual, hay muchísimas iniciativas, tenemos una plataforma que se llama México X, basada en la tecnología edX, una plataforma diseñada por Harvard y el MIT y que desde hace 10 años este país la tiene, es pública, puede ser gratuita, podemos dar la cantidad de cursos que queramos, tiene la capacidad para recibir a los millones de mexicanos que queramos con la cantidad de cursos que queramos y pues no lo hemos usado nunca para educación superior, digo muy poco, hay muy pocas universidades, hay casos, la Universidad Veracruzana, lo mismo si hay casos, pero digamos, teniendo esa plataforma, podríamos sacarle más jugo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Y bueno, aquí una primera propuesta de las primeras 20 microcredenciales que queremos empezar a diseñar y que vamos a invitar a todos ustedes a ver si hacemos juntos. La idea es hacer una plataforma en donde empecemos a ponernos a prueba como instituciones de educación superior para empezar a hacer cursos cortos que den constancia, certificados y diplomas, pero juntos."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","La idea es que cada curso lo hagamos entre todos. No es hacer, cada quien microcredenciales y subir un millón de microcredenciales con distintas calidades, con distintos diseños instruccionales. Hacer una plataforma de altísima calidad. Que hagamos entre todos, que nos organicemos y que veamos quiénes son las universidades que tienen más expertis o los cuerpos académicos eh mejores para diseñar tal tema y tal contenido, que nos ayudemos de los mejores diseñadores instruccionales y que hagamos cursos eh lúdicos, atractivos y vigentes. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces, hicimos un primer benchmarking, digamos, de cuáles son los cursos más exitosos en todas las plataformas a nivel mundial, cuáles son las tendencias que más se requieren ahorita en microcredenciales y ahí están las primeras. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","El uno es un curso eh con el que queremos estrenar esta plataforma que es por la paz y contra las adicciones, aléjate de las metanfetaminas, queremos estrenarnos con este curso porque es una petición directa de la presidencia de la República. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Nos están pidiendo y de una vez aprovecho para informarles, en toda la campaña de prevención por el tema del consumo del fentanilo, no nos habían invitado educación superior, realmente habían participado educación básica y media superior, pero hace aproximadamente mes y medio nos pidieron que entráramos los de educación superior porque los estudios de la secretaría de salud reflejaron que el problema no es tanto el fentanilo sino las metanfetaminas y que el problema no es tanto en menores de edad sino en mayores de 18 años."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Por lo tanto, el mayor crecimiento que está teniendo de consumo de metanfetaminas es en nuestros estudiantes, no en los de básica ni en los de media. Entonces, a partir de ahí nos pidió la presidencia de la República hacer toda una campaña y una estrategia que ya estamos diseñando que tiene que ver con una campaña con un lenguaje para mayores de edad, que es muy distinto a un lenguaje para niños o jóvenes de secundario prepa."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Y parte de esta estrategia es un primer un primer curso que queremos hacer que nos está ayudando generosamente, digo, CONASAMA nos está dando la guía digamos de contenidos, la ruta de la parte disciplinar la secretaría de salud, pero la UNAM y el TEC de Monterrey nos están ayudando que son los que tienen mayor expertice y que han tenido los casos más exitosos de diseño de cursos online."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces vamos a hacer una primera certificación a ver si nos sale bien de un curso por la paz y contra las adicciones de prevención de adicciones para jóvenes universitarios, digamos, o mayores de edad. Los contenidos diseñados por la Secretaría de Salud, con CONASAMA, el diseño instruccional y la parte de producción y todo con la UNAM y el TEC de Monterrey. Y también nos van a ayudar un poquito al tema disciplinar con algunos de sus expertos para afinar un curso. La idea es hacer un primer curso; lo que nos decían es que lo que más ha funcionado en prevención de adicciones es lo que se ha hecho en el aula."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Todas estas campañas que hemos hecho de brigadas, la que ustedes nos ayudaron el 14 de mayo con los tequios, el 14 de junio, son muy buenas, pero nada como lo que se hace en un aula. Entonces nos pidieron que hiciéramos, en básica y media superior lo que más les funcionó: actividades dentro del aula para prevención de adicciones, una guía que los maestros ayudaron a llevar en el aula."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, en el caso de las universidades vemos difícil hacerlo igual. Entonces, ¿qué pensamos? Hacer una clase si esto lo subimos a Coursera, que estamos viendo si nos dan 5 millones de becas para que este curso se pueda tomar en Coursera; si no, lo haremos en la plataforma MéxicoX, esto sin problema, para que sea público."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Pero lo que les vamos a pedir es casi ver nuestras aspiraciones, que los 5,4 millones de jóvenes universitarios tomen esta microcredencial. Y para eso vamos a necesitar su ayuda, ¿qué vamos a necesitar? Pues casi que escojan a un maestro por grupo de alguna clase y que lo meta como parte de la evaluación de su clase. Si tienen alguna clase de salud, si tienen una clase de ética. Si nos ayudan ya que lo tengamos diseñado, la idea es ver cómo logramos, no puede ser obligatorio, pero que tratemos de que le eh pues esas estrategias que tenemos para que sí lo tomen, que ustedes saben de qué les estoy hablando."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Buscar que todos nuestros estudiantes tomen este curso, creo que puede ser uno de los cursos más exitosos con los que nos podamos estrenar y matamos dos pájaros de un tiro."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Nos abrimos a diseñar microcredenciales entre todos, sería la primer convocatoria que ya están trabajando los equipos del TEC, de la UNAM, es aprender a hacer equipo y fíjense qué bonito como una universidad privada con una pública, con la secretaría salud y la constancia que se llevarían estos jóvenes ya con su valor de créditos, sería una constancia que daría la Secretaría de Salud, la SEP, la UNAM y el TEC de Monterrey. A partir de ahí, veinte propuestas más se las hacemos llegar, fundamentos de inteligencia artificial generativa, inteligencia artificial en la docencia, aprendiendo a aprender en la era de la inteligencia artificial, inteligencia artificial responsable y ética, desarrollo y uso confiable."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces los vamos a convocar a todos ustedes para ver quiénes quieren participar con sus académicos, quien tenga expertos, quien tenga y nos van a ayudar a estas primeras veinte microcredenciales les vamos a aceptar toda la ayuda que se pueda y la idea es estrenar una plataforma pública de educación superior en donde empecemos a entregar constancias, certificados, diplomas, microcredenciales, alineadas que se puedan mover muy rápido. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Gran parte del éxito de estas plataformas es que cambian de un día para otro la oferta, eh yo como rector de la universidad siempre lo digo, digo el plan de estudios de agronomía lleva quince años sin cambiarse en la UDG y no pude ni siendo rector general. O sea, seis años peleándome con los agrónomos y no lo logré. El plan seguía bien, hace quince años no existían ni los drones y ahora ya fertilizan con drones, o sea, si nos tardamos quince años en actualizar un plan de estudios, pues perdón, por eso están en Coursera los mexicanos y nos están abandonando nosotros.Bueno, pasamos a la que sigue. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces qué nos va a permitir algunos ejemplos del Marco Nacional de Cualificaciones de México, qué beneficios sociales puede tener."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Primero, reconocimiento de la experiencia laboral. Un ejemplo, una trabajadora con años de experiencia en la cocina tradicional obtiene una certificación de competencias laborales sin haber cursado estudios formales, gracias a los estándares del CONOCER, que es la única instancia que tenemos en este país que reconoce aprendizajes informales, CONOCER."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Si logramos que esos cursos de CONOCER también tengan y se alineen al marco mexicano de cualificaciones, al Marco Nacional de Cualificaciones, pues cuál es el beneficio que con una constancia esta cocinera puede tener inclusión laboral formal, posibilidad de emprender o mañana a lo mejor cambiar esos créditos y decide estudiar gastronomía en alguna de sus universidades, ¿por qué no? o negocios gastronómicos y si el nivel de profundidad de los conocimientos de esta microcredencial es nivel siete, pues pueden ser transferidos a un programa de licenciatura. Bueno, eso dependerá de que lo tengan. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Segundo ejemplo, movilidad entre subsistemas educativos, otro beneficio. Un egresado del CONALEP con certificación nivel cuatro puede ingresar a una universidad tecnológica sin duplicar materias, avanzando al nivel cinco. ¿Cuál es el beneficio? Trayectorias educativas flexibles y continuidad académica. Entonces programas de preparatoria de bachillerato, como lo estamos haciendo ahorita donde la UNAM, la UAM y algunas universidades van a ayudar a certificar digamos bachilleratos extendidos, pues un bachillerato puede tener los primeros dos o tres años créditos nivel tres y el último año extendido créditos de profundidad nivel cuatro o cinco."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Es bachillerato y termina con bachillerato. Pero esos créditos que tomó el último año pueden ser transferidos al sistema educativo nivel superior si él lo quiere. Si no se queda con su bachillerato. Pero si nosotros decidimos que dentro de un programa educativo bachillerato pueda haber créditos con nivel de profundidad tres o cuatro y cinco, eso permite que un joven de un bachillerato pueda terminar y después decir, ah me interesa una licenciatura, un técnico superior y estos créditos que tomé en mi bachillerato son transferibles a eso. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, eso sería maravilloso también y eso podría empezar a llegar a que jóvenes de prepa se ahorren un año de licenciatura si tomaron un bachillerato extendido, digamos. Y que las universidades empecemos a diseñar bachilleratos extendidos. O sea, que a lo mejor los dos años de bachillerato general y un año de especializante, o tres y uno o lo que sea, pero eso te puede permitir a las universidades que tienen bachillerato pensar en bachillerato que se unan a técnicos superiores o tecnólogos y que después esos técnicos o tecnólogos se unan a una licenciatura."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Entonces empezamos a hacer trayectorias académicas que te lleven desde la prepa hasta la universidad sin interrumpir y modular.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Tres, diseño de formación pertinente. Imaginémonos un centro de formación técnica en Jalisco, como ejemplo, diseño un nuevo programa en electromovilidad alineado al nivel cinco del Marco Nacional de Cualificaciones en colaboración con el sector automotriz. Entonces ¿cuál es el beneficio aquí lo que decían hace rato? Una formación con alto grado de empleabilidad. ¿Se puede hacer eso? Sí, un centro de formación técnica se asocia con una empresa y empiezan a colaborar y hacer un programa de estudios con créditos nivel cinco."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Y último, reinserción laboral, por ejemplo, de migrantes retornados. Otro ejemplo que pudiera venir si tenemos este sistema. Un migrante mexicano que trabajó en la construcción en Estados Unidos regresa sin títulos pero con experiencia técnica. Puede certificar sus competencias en albañilería, plomería o electricidad mediante CONOCER y vincularse después a empleos formales."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Digo, eso es un migrante o eso es un albañil mexicano ¿A qué voy? la idea y ya voy a terminar, perdón que me haya alargado y perdón a los que lo han escuchado cinco veces, Luis, este pero digo, tengo ando como predicando esto, este les prometo que en un mes ya dejo esto y nos ponemos a que esto a que se haga, pero los primeros meses tenemos que convencernos. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Lo que tenemos que convencernos es en hacer o intentar hacer un sistema universitario más flexible, más modular, que te permita más movilidad y que te permita más a la carta. Perdón el ejemplo que siempre doy que está, pero trato de ser didáctico."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Lo que hay que entender es que nuestros jóvenes ya son totalmente diferentes a nosotros. Este yo que tengo cuarenta y seis años fui un niño que tuve la paciencia de esperar un día a ver el capítulo de la siguiente novela y cada día era, entonces mundo de juguete tenía la paciencia yo como niño de esperar un al día siguiente."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Bueno, mundo de juguete es la novela más larga en la historia de México, duró tres años cuatro meses. Entonces yo fui un niño que le tocó mundo de juguete, entonces yo podía esperarme un día a ver el siguiente capítulo y tardé tres años cuatro meses en ver el final."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces el desarrollo que la televisión abierta tenía de la paciencia es muy distinto a Netflix. Hoy díganme quién se aguanta una serie que se pica no desvelarse hasta las cuatro de la mañana a terminarla. Confiesense que aviente la piedra el primero, es que el mundo del consumo de la información y todo cambió. La velocidad en la que consumimos y aprendemos cambió."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior",Entonces nuestros jóvenes ya no son niños que estén dispuestos a esperar un día y tres años para ver el final de algo. Y tenemos que adaptar nuestro sistema educativo a que ya no es como la televisión abierta. No puede ser rígido y cuando nosotros queramos y como nosotros queramos. Eso fue la televisión abierta.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Nuestros estudiantes ya son de la era Netflix. Necesitan módulos, necesitan sus tiempos, necesitan flexibilidad, necesitan cambiar de una película a otra y después volver si quieren. Necesitan eso y el sistema educativo si tenemos un marco nacional de cualificaciones que empiece a modular, a dar constancias intermedias, certificaciones intermedias, vamos a poder lograr lo que por ejemplo en las tecnológicas y los politécnicos ya van a empezar este año a que el joven que en los primeros tres cuatro semestres logra terminar un año de estudios se lleva una constancia que le permite para el sector laboral. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Y en un subsistema donde el 42% estaban abandonando el primer año, hoy cuatro de cada diez jóvenes están yendo el primer año con las manos vacías de los tecnológicos y los politécnicos. Bueno, ojalá ahí se vayan con una constancia si se tienen que ir. Pero ojalá esa constancia ayude a que se queden un año más."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Y si se quedan un año más se llevan un técnico superior universitario en seis cuatrimestres. Y si tienen paciencia en tres años cuatro meses se llevan su licenciatura. Entonces yo lo todavía platicaba con una rectora y le decía, a ver ¿por qué no todos estos programas de ingeniería tratas de vincularlos a un técnico superior universitario y a tus bachilleratos tecnológicos? ¿Por qué? Porque los técnicos superiores universitarios yo no sé si por valor social, no sé por qué, pero no han sido tan exitosos como quisiéramos las universidades, pero si los técnicos superiores universitarios están alineados con una certificación laboral previa y con un título universitario después pueden resultar atractivos. Pero si los tenemos por separados los técnicos superiores de las ingenierías y nadie queremos hacer un esfuerzo por unificar trayectorias modulares intercambiables que puedan permitir a un estudiante ir de un lado a otro o eh si se tiene que ir en un año irse, pero que no se vaya con las manos vacías."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces regreso esa idea. Una sociedad que entrega diplomas, constancias, certificados, pero además si quiere técnicos superiores, universitarios, tecnólogos y además si quieres títulos universitarios, ingenierías, licenciaturas o maestrías y doctorados, pero le damos valor el sector formal a todo aprendizaje, puede que le cambiemos la vida a millones de mexicanos porque les vamos a dar un valor social, económico y cultural diferente a esos mexicanos que están aprendiendo, que saben cosas pero que nadie se los certifica."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces termino con esta última lámina que espero que nos ayude a entender. al-Qarawiyyin del año 859 de la universidad en el oriente que según la UNESCO es la más longeva que sigue abierta. Hace 1400 años, le pedí a la inteligencia artificial que me hiciera una imagen de cómo sería un aula de al-Qarawiyyin. El saber fluye de un libro a través del maestro hacia sus alumnos silenciosos. 200 años después, 150 años después nace Bolonia, la primera universidad moderna, digamos, o de occidente, que es nuestro referente."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","1000 años después, mismos libros, misma jerarquía. Un aula de una universidad mexicana en el 2025. La tecnología cambió el mundo, pero a mi punto de vista el aula no tanto. Sigue siendo un profesor, un libro y estudiantes escuchando."
