Participante,Dialogo
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES",Está entonces a su consideración el cuadro de seguimiento de acuerdos y les consulto si hubiese algún comentario al respecto.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Yo sí le preguntaría si la redacción, Bernardo, que viene aquí, más o menos va; y si no, que nos ayuden a que quede claro lo que queríamos, que propuso FIMPES desde la sesión anterior de armonizar y sacar el reglamento. "
"Bernardo González Aréchiga, secretario general de FIMPES",Yo creo que el punto fundamental simplemente es las normas pendientes de acuerdo a los transitorios de la ley general. Gracias
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","De la ley general, perfecto."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Y me comentaba Enrique del Val, tiene razón si en el acuerdo S.O.CONACES.5ª.6, si a lo mejor los jurídicos nos ayudaran a revisar si hay alguna manera de poner algunos tiempos o generar más presión ya que son 19 estados los que no han armonizado con la ley general de educación y yo creo que ya ha pasado demasiado tiempo."
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces, si nos ayudaran los jurídicos a revisar eh los plazos que marcó la ley o o los plazos a los que están obligados por la ley para armonizarse, y ver si hay alguna manera en que podamos hacer alguna presión mayor o poner tiempos comunicar, porque son demasiados los estados que no han armonizado su ley con la ley general de educación superior. "
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Entonces si lo podemos anotar para revisar si hay alguna manera de poner tiempos y plazos, ¿no? Va, para una comisión de trabajo que nos revise, ¿no? Vale. Perfecto, ¿no?"
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Muy bien, ¿algún otro comentario? ¿No? Si no hay más comentarios, perdón, Malú, por favor."
Malú,Buenos días a todos. Es que en realidad Bernardo tiene razón en toda la parte de los transitorios…
Malú,(Se dejó de escuchar)
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","¿Alguien más? No, si no hay más comentarios, entonces les proponemos tomar el siguiente acuerdo."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES",Es el acuerdo S.O.CONACES.16.4. El CONACES toma conocimiento y aprueba el informe del seguimiento de acuerdos rendido por el Secretariado Técnico Conjunto. Sometemos a votación el proyecto. 
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES",Quiénes estén en contra
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES",¿quiénes se abstengan?
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES",Aprobamos por unanimidad. De acuerdo.
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES",Para los siguientes puntos le devuelvo la voz al doctor Ricardo Villanueva Lomelí.
"Dr. Ricardo Villanueva Lomelí, Subsecretario de Educación Superior","Gracias, doctor. Bueno, entramos al análisis del punto cinco, que es muy importante para el cumplimiento de los propósitos que se persiguen con el programa de trabajo 2025-2026 y de manera más amplia para que este consejo tenga una actividad que sin duda cada día sea más relevante y se trata de la propuesta de integración de comisiones de este órgano."
